url num_files insertions deletions
https://github.com/secure-foundations/ironsync-osdi2023/commit/449f604b8841310906bb63e3eb452b6515e5794c 2 5 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/ea863efb68a2558cedf745fdfb16bb436094a086 2 73 132
https://github.com/secure-foundations/ironsync-osdi2023/commit/336a5f661ac9f68b6ec92354981fa8f7f5c6bf45 2 22 2
https://github.com/dafny-lang/Dafny-VMC/commit/6f9c3c908f949934fcf09ac8c3171d50f504d078 3 45 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/88e36dc542f65d0e9a62898aec72a8f64d4329eb 3 110 69
https://github.com/namin/dafny-sandbox/commit/011eb6e403575a1024d1183cd762f95fa62e15e4 1 7 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/48c863232f2a18c6a7e38672bda2eaaaa9c15255 2 95 156
https://github.com/secure-foundations/ironsync-osdi2023/commit/aa8b3d6e5c3d2a5e660463bea7de56e499bf93d7 2 194 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/e7521b5d4cdf7ae5fa83ac618a6623e3dfe138da 1 7 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/6246993a9ea890ab380400feadc02a2d38459c2a 1 2 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/adb03704c362ab6a72f97ce1027b3766d23d8d6d 5 0 10
https://github.com/secure-foundations/ironsync-osdi2023/commit/db36c6ea2c53fdc3ed33efbccc63001f738919c7 1 34 36
https://github.com/volodeyka/veri-sparse/commit/f457c22dc6032c5b129d90140751031e53a41e02 1 0 95
https://github.com/just-me-/dafny-language-server/commit/3c55c4a06976265e7ce74b60d169e6a70cfcc601 2 8 4
https://github.com/DanielCavalheiro/CVS-handout1/commit/ad5a5a7952a97609bba776fddf2e5a603c283e44 1 17 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/bb648cc13ab23fd282eeff912c87a65f43e844d7 1 95 4
