commit_url,num_dfy_files,num_insertions,num_deletions
https://github.com/aws/aws-encryption-sdk/commit/ba876876155f13191d30763db54b8606dcd7c7a1,1,0,2
https://github.com/aws/aws-encryption-sdk/commit/bba13b4bfbd2ac28249fce54b0c15d819649765f,7,194,151
https://github.com/aws/aws-encryption-sdk/commit/bc46d0f77f2608fbdd77ce9820750c92f02a2a40,1,41,40
https://github.com/aws/aws-encryption-sdk/commit/bd573511d1ba18b722a3985fa9a51ded3e10d665,1,2,2
https://github.com/aws/aws-encryption-sdk/commit/bddebbb255a9b3c6122e9bfd08ed08aa356b3130,4,90,100
https://github.com/aws/aws-encryption-sdk/commit/bf28b79b5e533f8f86c588c7ae72620af693b0be,3,131,76
https://github.com/aws/aws-encryption-sdk/commit/bfca9c745d8d1f2ae478d00cb49b23d0f4c690f3,11,1536,1587
https://github.com/aws/aws-encryption-sdk/commit/c18855d833fc205be2aef75258798bd41d39d5e6,2,4,6
https://github.com/aws/aws-encryption-sdk/commit/c22135373ecbb36cd0dfe7ba70180964c44ecf05,3,37,39
https://github.com/aws/aws-encryption-sdk/commit/c2577edb002fbf6a76033b0026e683e1d75fb967,39,2686,2177
https://github.com/aws/aws-encryption-sdk/commit/c3cfb9ab5d8bb46a4454d646b9636f12bf0d92f4,7,139,15
https://github.com/aws/aws-encryption-sdk/commit/c3f58473d5b2f6e31ed135da594ee6da5167d9e4,3,50,142
https://github.com/aws/aws-encryption-sdk/commit/c45fda49e3df7d3f34901eee504e62a8fe4b599a,2,8,6
https://github.com/aws/aws-encryption-sdk/commit/c4c57596152f64ded891f9cc794c659ce4c85c21,1,3,13
https://github.com/aws/aws-encryption-sdk/commit/c56dd697c66735ead78f45488256f9b5a4b56d92,1,1,2
https://github.com/aws/aws-encryption-sdk/commit/c7279a938878e1d712d0cc904dd1a6b13d7eb4a6,2,37,37
https://github.com/aws/aws-encryption-sdk/commit/c890df6e7e51b70c3148d735dba6d66e3e95e00f,10,796,53
https://github.com/aws/aws-encryption-sdk/commit/c8be143088490301d486958ad126d53c46ec1311,6,541,330
https://github.com/aws/aws-encryption-sdk/commit/c92d0fe041142956a23d8772d526a875e7f83ed9,1,2,2
https://github.com/aws/aws-encryption-sdk/commit/cd199795003d91984e24f1c04d9a84ae9c445372,5,39,22
https://github.com/aws/aws-encryption-sdk/commit/d25ec3ebcce75b76900ed6621a77454b487fdbb4,2,1007,155
https://github.com/aws/aws-encryption-sdk/commit/d3bd16d32c455fa43a45518403b7a614d1101934,3,158,33
https://github.com/aws/aws-encryption-sdk/commit/d3cc8f9846270ab2c31ff8036008a6a33c04247e,5,852,278
https://github.com/aws/aws-encryption-sdk/commit/d4a87cc84a9036825cb5d004e2a8c558b82761a2,5,5,6
https://github.com/aws/aws-encryption-sdk/commit/d4e91c6c5900c6dfd7176b9fb6f302180259ec18,9,164,175
https://github.com/aws/aws-encryption-sdk/commit/d50952ad175e3ed604b355c7edb1ec68a05021df,2,140,141
https://github.com/aws/aws-encryption-sdk/commit/d5490d43fc0dd805ca7c8677651bca5377e5fbbc,4,9,9
https://github.com/aws/aws-encryption-sdk/commit/d71dbcd8a893d31b6b4e972432deceb70b3c5dd2,8,105,61
https://github.com/aws/aws-encryption-sdk/commit/d99a241e898d6cb9e81701757a06b72ab0ff6476,4,55,58
https://github.com/aws/aws-encryption-sdk/commit/dc1da3d7b02efe1ef4963bb0bfceea408f9d0f7b,2,1007,155
https://github.com/aws/aws-encryption-sdk/commit/e0508b5061b35c0984b4b8b9594afc7af1d3265e,4,132,148
https://github.com/aws/aws-encryption-sdk/commit/e2058ee29950eb4c6606b629b850fc50f82f7810,1,10,2
https://github.com/aws/aws-encryption-sdk/commit/e4bd3e20a8e0a82441705764587c043c71fbe835,6,24,35
https://github.com/aws/aws-encryption-sdk/commit/e60c07976faee2324ef516540b4ad49bc872e3bb,19,19,19
https://github.com/aws/aws-encryption-sdk/commit/e6e4d2a04ac4023d708112c057b085c5b26f715e,2,18,24
https://github.com/aws/aws-encryption-sdk/commit/e82c43c6b340e42694689477d00035da4628a822,1,6,5
https://github.com/aws/aws-encryption-sdk/commit/e99a5814c4022125d1274e55c3f4a223e415c909,1,3,13
https://github.com/aws/aws-encryption-sdk/commit/e9a562b58312213f33e555c66193399f1e7982d7,1,20,1
https://github.com/aws/aws-encryption-sdk/commit/eaed2ced5e7f2dae819b1206d0f927bea878016c,18,231,778
https://github.com/aws/aws-encryption-sdk/commit/eb8253de8fbba10c321ef4c7c96672f872dea6f5,7,52,20
https://github.com/aws/aws-encryption-sdk/commit/ebaee233111736504d369e822cb361a04dcea316,9,138,138
https://github.com/aws/aws-encryption-sdk/commit/ef02a60318a9d68e3986207170be7ad336ecb95f,3,3,208
https://github.com/aws/aws-encryption-sdk/commit/f0065b01632a86dc566c7acf1f87182ca1e6c657,9,153,117
https://github.com/aws/aws-encryption-sdk/commit/f10fb418522dc59b3f1178ef9f1e82435dff4718,1,2,2
https://github.com/aws/aws-encryption-sdk/commit/f118bd4809484f705e0929c58e06b5bd275f756e,2,37,37
https://github.com/aws/aws-encryption-sdk/commit/f3d283652f3203d9d499598bde1068282cd0803d,34,2728,4792
https://github.com/aws/aws-encryption-sdk/commit/f67780ad6fb4aefd7f7ad6d090c4c29a5b3edfe0,5,82,101
